u,v,key,osmid,bridge,highway,lanes,name,oneway,reversed,length,width,ref,service,access,tunnel,junction,maxspeed,landuse,geometry
314623088,3562004398,0,37129403,,primary,3,大石西路,True,False,48.17878906201318,,,,,,,,,"LINESTRING (104.0347608 30.6534113, 104.0342573 30.6534004)"
314623088,4548259588,0,552545421,,residential,,大石南路,False,True,13.573377474523317,,,,,,,,,"LINESTRING (104.0347608 30.6534113, 104.0347702 30.6532895)"
314623092,314623094,0,487456458,,tertiary,,燃灯寺路,False,False,58.93174764264109,,,,,,,,,"LINESTRING (104.0317992 30.6465707, 104.032381 30.6467449)"
314623092,4799100434,0,487456458,,tertiary,,燃灯寺路,False,True,57.58707016777676,,,,,,,,,"LINESTRING (104.0317992 30.6465707, 104.0312456 30.6463673)"
314623094,314623095,0,487456458,,tertiary,,燃灯寺路,False,False,37.95476559539577,,,,,,,,,"LINESTRING (104.032381 30.6467449, 104.0327704 30.6468103)"
314623094,314623092,0,487456458,,tertiary,,燃灯寺路,False,True,58.93174764264109,,,,,,,,,"LINESTRING (104.032381 30.6467449, 104.0317992 30.6465707)"
314623095,3562099594,0,487456458,,tertiary,,燃灯寺路,False,False,44.67933294703814,,,,,,,,,"LINESTRING (104.0327704 30.6468103, 104.0332341 30.6468583)"
314623095,314623094,0,487456458,,tertiary,,燃灯寺路,False,True,37.95476559539577,,,,,,,,,"LINESTRING (104.0327704 30.6468103, 104.032381 30.6467449)"
314623096,314623097,0,487456458,,tertiary,,燃灯寺路,False,False,120.45617225975396,,,,,,,,,"LINESTRING (104.0338429 30.6468864, 104.0351017 30.6469123)"
314623096,3562099594,0,487456458,,tertiary,,燃灯寺路,False,True,58.32396577379589,,,,,,,,,"LINESTRING (104.0338429 30.6468864, 104.0332341 30.6468583)"
314623097,314623096,0,487456458,,tertiary,,燃灯寺路,False,True,120.45617225975396,,,,,,,,,"LINESTRING (104.0351017 30.6469123, 104.0338429 30.6468864)"
314623097,3693431549,0,552545421,,residential,,大石南路,False,False,72.26409669466454,,,,,,,,,"LINESTRING (104.0351017 30.6469123, 104.0350725 30.6475617)"
314623097,5628752508,0,552545422,,tertiary,,燃灯寺东街,False,False,350.02582705611445,,,,,,,,,"LINESTRING (104.0351017 30.6469123, 104.0387602 30.6469596)"
314623097,314623106,0,552768867,,residential,,大石南路,False,True,138.00859643269365,,,,,,,,,"LINESTRING (104.0351017 30.6469123, 104.035148 30.6456718)"
314623104,5213238523,0,538608152,,primary,,,True,False,41.198673657389136,,,,,,,,,"LINESTRING (104.0389332 30.6469497, 104.0389228 30.6473201)"
314623105,314623104,0,538608193,yes,primary,2,高升桥跨线桥,True,False,128.846198463467,,,,,,,,,"LINESTRING (104.0389444 30.645791, 104.0389332 30.6469497)"
314623106,5628752492,0,28620972,,residential,,七道堰街,False,True,345.4755282564264,,,,,,,,,"LINESTRING (104.035148 30.6456718, 104.0387593 30.6456704)"
314623106,314623097,0,552768867,,residential,,大石南路,False,False,138.00859643269365,,,,,,,,,"LINESTRING (104.035148 30.6456718, 104.0351017 30.6469123)"
314623111,5514125503,0,487456463,,tertiary,,菊乐路,False,False,22.204759430636955,,,,,,,,,"LINESTRING (104.0365672 30.648594, 104.0367948 30.6485548)"
314623111,314623112,0,487456463,,tertiary,,菊乐路,False,True,159.74709950511215,,,,,,,,,"LINESTRING (104.0365672 30.648594, 104.0350235 30.6491419)"
314623112,314623111,0,487456463,,tertiary,,菊乐路,False,False,159.74709950511215,,,,,,,,,"LINESTRING (104.0350235 30.6491419, 104.0365672 30.648594)"
314623112,12466332604,0,487456463,,tertiary,,菊乐路,False,True,134.79068698986262,,,,,,,,,"LINESTRING (104.0350235 30.6491419, 104.033724 30.6496105)"
314623112,12466332634,0,552545421,,residential,,大石南路,False,False,183.16643718145616,,,,,,,,,"LINESTRING (104.0350235 30.6491419, 104.0349089 30.6507862)"
314623112,3693431549,0,552545421,,residential,,大石南路,False,True,175.77298433119196,,,,,,,,,"LINESTRING (104.0350235 30.6491419, 104.0350725 30.6475617)"
314623117,3562099602,0,487456463,,tertiary,,菊乐路,False,False,93.22435890674132,,,,,,,,,"LINESTRING (104.0324152 30.6500424, 104.0333297 30.6497527)"
314623117,314623119,0,487456463,,tertiary,,菊乐路,False,True,24.126358888135773,,,,,,,,,"LINESTRING (104.0324152 30.6500424, 104.0321723 30.6501008)"
314623117,5514125493,0,576684231,,residential,,百花南街,False,True,47.17506481825409,,,,,,,,,"LINESTRING (104.0324152 30.6500424, 104.0326283 30.650425)"
314623119,314623117,0,487456463,,tertiary,,菊乐路,False,False,24.126358888135773,,,,,,,,,"LINESTRING (104.0321723 30.6501008, 104.0324152 30.6500424)"
314623119,314623121,0,487456463,,tertiary,,菊乐路,False,True,39.62891260965999,,,,,,,,,"LINESTRING (104.0321723 30.6501008, 104.0317615 30.6501468)"
314623121,314623119,0,487456463,,tertiary,,菊乐路,False,False,39.62891260965999,,,,,,,,,"LINESTRING (104.0317615 30.6501468, 104.0321723 30.6501008)"
314623121,5514125501,0,487456463,,tertiary,,菊乐路,False,True,43.08079961501523,,,,,,,,,"LINESTRING (104.0317615 30.6501468, 104.0313113 30.6501568)"
314623148,1445475726,0,28620366,,unclassified,2,盐道街,False,False,8.725146893036307,,,,,,,,,"LINESTRING (104.0636071 30.6515841, 104.0636983 30.6515853)"
314623148,1445526137,0,135980035,,primary,4,人民南路二段,True,False,185.16482917250016,,,,,,,,,"LINESTRING (104.0636071 30.6515841, 104.0636557 30.6499194)"
314623155,7787069786,0,115625986,,secondary,2,玉带桥街,True,False,45.27171097587571,,,,,,,,,"LINESTRING (104.0691163 30.6695601, 104.068643 30.6695659)"
314623160,1305816712,0,28620976,,secondary,,西玉龙街,True,False,174.28070473960952,,,,,,,,,"LINESTRING (104.0681138 30.6695736, 104.0662916 30.6695825)"
314623160,5602701336,0,576653470,,secondary,4,顺城大街,True,False,11.537774291083448,,,,,,,,,"LINESTRING (104.0681138 30.6695736, 104.0680958 30.669471)"
314635488,1159149010,0,53114535,,primary,,东大街上东大街段,True,False,106.99768050426532,,,,,,,,,"LINESTRING (104.0705626 30.6574409, 104.0695888 30.6579144)"
314635488,6121217462,0,115625985,,residential,,暑袜南街,False,True,59.32605412186764,,,,,,,,,"LINESTRING (104.0705626 30.6574409, 104.0708772 30.6579007)"
314655435,9739652364,0,28623889,,unclassified,,,False,True,165.55049147725492,,,,,,,,,"LINESTRING (104.1020652 30.7141622, 104.1004665 30.7147345)"
314655435,314657672,0,540644107,,footway,,,False,False,7.970807539444207,,,,,,,,,"LINESTRING (104.1020652 30.7141622, 104.1021452 30.714142)"
314655465,314655466,0,540918321,,footway,,,False,False,23.560184203156613,,,,,,,,,"LINESTRING (104.1028594 30.7140003, 104.1029961 30.713824)"
314655465,5231873952,0,540918321,,footway,,,False,True,15.120219358777646,,,,,,,,,"LINESTRING (104.1028594 30.7140003, 104.1027709 30.714113)"
314655466,314655467,0,540918321,,footway,,,False,False,13.903730196337044,,,,,,,,,"LINESTRING (104.1029961 30.713824, 104.1031061 30.7137422)"
314655466,314655465,0,540918321,,footway,,,False,True,23.560184203156613,,,,,,,,,"LINESTRING (104.1029961 30.713824, 104.1028594 30.7140003)"
314655467,314655472,0,540918321,,footway,,,False,False,10.009604278649023,,,,,,,,,"LINESTRING (104.1031061 30.7137422, 104.1031923 30.7136911)"
314655467,314655466,0,540918321,,footway,,,False,True,13.903730196337044,,,,,,,,,"LINESTRING (104.1031061 30.7137422, 104.1029961 30.713824)"
314655472,314655473,0,540918321,,footway,,,False,False,9.711123462109098,,,,,,,,,"LINESTRING (104.1031923 30.7136911, 104.1032874 30.7136604)"
314655472,314655467,0,540918321,,footway,,,False,True,10.009604278649023,,,,,,,,,"LINESTRING (104.1031923 30.7136911, 104.1031061 30.7137422)"
314655473,314655475,0,540918321,,footway,,,False,False,11.051446968180567,,,,,,,,,"LINESTRING (104.1032874 30.7136604, 104.1034019 30.7136467)"
314655473,314655472,0,540918321,,footway,,,False,True,9.711123462109098,,,,,,,,,"LINESTRING (104.1032874 30.7136604, 104.1031923 30.7136911)"
314655475,314655476,0,540918321,,footway,,,False,False,17.792069317486334,,,,,,,,,"LINESTRING (104.1034019 30.7136467, 104.1035873 30.7136607)"
314655475,314655473,0,540918321,,footway,,,False,True,11.051446968180567,,,,,,,,,"LINESTRING (104.1034019 30.7136467, 104.1032874 30.7136604)"
314655476,314655477,0,540918321,,footway,,,False,False,22.472443558392502,,,,,,,,,"LINESTRING (104.1035873 30.7136607, 104.1038218 30.7136748)"
314655476,314655475,0,540918321,,footway,,,False,True,17.792069317486334,,,,,,,,,"LINESTRING (104.1035873 30.7136607, 104.1034019 30.7136467)"
314655477,5231873943,0,540918321,,footway,,,False,False,39.715737167308,,,,,,,,,"LINESTRING (104.1038218 30.7136748, 104.1042315 30.713734)"
314655477,314655476,0,540918321,,footway,,,False,True,22.472443558392502,,,,,,,,,"LINESTRING (104.1038218 30.7136748, 104.1035873 30.7136607)"
314655477,314655478,0,895234952,,footway,,,False,False,45.768234919332755,,,,,,,,,"LINESTRING (104.1038218 30.7136748, 104.1040617 30.714031)"
314655477,314656113,0,895234952,,footway,,,False,True,39.12750054771536,,,,,,,,,"LINESTRING (104.1038218 30.7136748, 104.1038567 30.7133242)"
314655478,314655479,0,895234952,,footway,,,False,False,7.095835960119483,,,,,,,,,"LINESTRING (104.1040617 30.714031, 104.1040835 30.714092)"
314655478,314655477,0,895234952,,footway,,,False,True,45.768234919332755,,,,,,,,,"LINESTRING (104.1040617 30.714031, 104.1038218 30.7136748)"
314655479,314655480,0,895234952,,footway,,,False,False,7.886158821883634,,,,,,,,,"LINESTRING (104.1040835 30.714092, 104.1040726 30.7141623)"
314655479,314655478,0,895234952,,footway,,,False,True,7.095835960119483,,,,,,,,,"LINESTRING (104.1040835 30.714092, 104.1040617 30.714031)"
314655480,314655481,0,895234952,,footway,,,False,False,4.661599061157088,,,,,,,,,"LINESTRING (104.1040726 30.7141623, 104.1040944 30.7141998)"
314655480,314655479,0,895234952,,footway,,,False,True,7.886158821883634,,,,,,,,,"LINESTRING (104.1040726 30.7141623, 104.1040835 30.714092)"
314655481,314655513,0,895234952,,footway,,,False,False,4.96825468485728,,,,,,,,,"LINESTRING (104.1040944 30.7141998, 104.1041416 30.7142185)"
314655481,314655480,0,895234952,,footway,,,False,True,4.661599061157088,,,,,,,,,"LINESTRING (104.1040944 30.7141998, 104.1040726 30.7141623)"
314655482,314655483,0,895234952,,footway,,,False,False,8.923293442331204,,,,,,,,,"LINESTRING (104.1043125 30.7142279, 104.1044052 30.7142185)"
314655482,314655513,0,895234952,,footway,,,False,True,16.3709714589203,,,,,,,,,"LINESTRING (104.1043125 30.7142279, 104.1041416 30.7142185)"
314655483,314655484,0,895234952,,footway,,,False,False,5.125040057025183,,,,,,,,,"LINESTRING (104.1044052 30.7142185, 104.1044542 30.7141998)"
314655483,314655482,0,895234952,,footway,,,False,True,8.923293442331204,,,,,,,,,"LINESTRING (104.1044052 30.7142185, 104.1043125 30.7142279)"
