osmid,y,x,street_count,highway,railway,ref,geometry
7968288426,30.6715868,104.1237076,2,,,,POINT (104.1237076 30.6715868)
7968288428,30.6719464,104.1227742,2,,,,POINT (104.1227742 30.6719464)
7968288430,30.6726438,104.1221615,3,,,,POINT (104.1221615 30.6726438)
7968288432,30.6706142,104.1223539,2,,,,POINT (104.1223539 30.6706142)
7968358644,30.6970432,104.1054949,2,,,,POINT (104.1054949 30.6970432)
7968358645,30.6969278,104.1054109,2,,,,POINT (104.1054109 30.6969278)
7985151565,30.6522162,104.0860418,3,,,,POINT (104.0860418 30.6522162)
7985151566,30.6517295,104.0867564,3,,,,POINT (104.0867564 30.6517295)
7985151567,30.6517436,104.0856592,3,,,,POINT (104.0856592 30.6517436)
7985151568,30.6504084,104.0855375,3,,,,POINT (104.0855375 30.6504084)
7985151569,30.6508724,104.0858376,2,,,,POINT (104.0858376 30.6508724)
7985151570,30.6509986,104.0859288,2,,,,POINT (104.0859288 30.6509986)
7985151571,30.6510263,104.0859752,2,,,,POINT (104.0859752 30.6510263)
7985151572,30.6510739,104.0860378,2,,,,POINT (104.0860378 30.6510739)
7985151573,30.6511755,104.0861165,2,,,,POINT (104.0861165 30.6511755)
7985151574,30.6512479,104.0863162,2,,,,POINT (104.0863162 30.6512479)
7985151575,30.6512441,104.0863642,2,,,,POINT (104.0863642 30.6512441)
7985151576,30.6513037,104.0864203,2,,,,POINT (104.0864203 30.6513037)
8003305451,30.7008992,104.0899954,2,,,,POINT (104.0899954 30.7008992)
8003305452,30.7008347,104.0894914,2,,,,POINT (104.0894914 30.7008347)
8003305453,30.7009664,104.0890169,2,,,,POINT (104.0890169 30.7009664)
8003305454,30.7012315,104.0886786,2,,,,POINT (104.0886786 30.7012315)
8003305455,30.7015177,104.0884962,2,,,,POINT (104.0884962 30.7015177)
8003305456,30.701884,104.0884402,2,,,,POINT (104.0884402 30.701884)
8003305458,30.7029702,104.0880647,2,,,,POINT (104.0880647 30.7029702)
8003305459,30.7029638,104.0877356,2,,,,POINT (104.0877356 30.7029638)
8005823119,30.6560432,104.0459896,2,,,,POINT (104.0459896 30.6560432)
8005823120,30.6557247,104.0467911,2,,,,POINT (104.0467911 30.6557247)
8005823121,30.6554533,104.0483216,4,,,,POINT (104.0483216 30.6554533)
8005823122,30.6559321,104.0462269,2,,,,POINT (104.0462269 30.6559321)
8005823123,30.6561561,104.045774,2,,,,POINT (104.045774 30.6561561)
8005823124,30.6567416,104.0449642,2,,,,POINT (104.0449642 30.6567416)
8005823125,30.6574228,104.0443871,2,,,,POINT (104.0443871 30.6574228)
8005823126,30.6599687,104.0427918,2,,,,POINT (104.0427918 30.6599687)
8005823127,30.6602366,104.0424651,2,,,,POINT (104.0424651 30.6602366)
8021419336,30.7401049,104.0404968,2,,,,POINT (104.0404968 30.7401049)
8021419337,30.7393121,104.0411698,2,,,,POINT (104.0411698 30.7393121)
8021419338,30.7389803,104.0416436,2,,,,POINT (104.0416436 30.7389803)
